idItem,type,instance
173,translation_rev,Fábio Fortes
173,translation_rev,Humberto Schubert Coelho
174,transcription_rev,Brutus Abel
174,transcription_rev,Fábio Fortes
174,translation_rev,Brutus Abel
174,translation_rev,Fábio Fortes
174,translation_rev,Humberto Schubert Coelho
175,transcription_rev,Brutus Abel
175,transcription_rev,Fábio Fortes
175,translation_rev,Brutus Abel
175,translation_rev,Fábio Fortes
175,translation_rev,Humberto Schubert Coelho
176,transcription_rev,Fábio Fortes
176,translation_rev,Brutus Abel
176,translation_rev,Fábio Fortes
177,transcription_rev,Brutus Abel
177,transcription_rev,Valquíria Maria Cavalcante de Moura
177,translation_rev,Brutus Abel
177,translation_rev,Fábio Fortes
177,translation_rev,Valquíria Maria Cavalcante de Moura
178,transcription_rev,Brutus Abel
178,transcription_rev,Fábio Fortes
178,translation_rev,Brutus Abel
178,translation_rev,Fábio Fortes
178,translation_rev,Humberto Schubert Coelho
179,transcription_rev,Brutus Abel
179,transcription_rev,Fábio Fortes
179,translation_rev,Brutus Abel
179,translation_rev,Sílvio Chibeni
179,translation_rev,Humberto Schubert Coelho
180,transcription_rev,Brutus Abel
180,transcription_rev,Fábio Fortes
180,translation_rev,Brutus Abel
180,translation_rev,Silvio Chibeni
180,translation_rev,Humberto Schubert Coelho
182,transcription_rev,Alexandre Caroli
182,transcription_rev,Brutus Abel
182,transcription_rev,Charles Kempf
182,translation_rev,Brutus Abel
183,transcription_rev,Philippe Gilbert
183,translation_rev,Alexandre Caroli
183,translation_rev,Brutus Abel
184,transcription_rev,Philippe Gilbert
184,translation_rev,Alexandre Caroli
185,transcription_rev,Brutus Abel
185,transcription_rev,Fábio Fortes
185,translation_rev,Brutus Abel
185,translation_rev,Valquíria Maria Cavalcante de Moura
185,translation_rev,Humberto Schubert Coelho
186,transcription_rev,Brutus Abel
186,transcription_rev,Fábio Fortes
186,translation_rev,Brutus Abel
186,translation_rev,Fábio Fortes
186,translation_rev,Humberto Schubert Coelho
187,transcription_rev,Brutus Abel
187,transcription_rev,Valquíria Maria Cavalcante de Moura
187,translation_rev,Brutus Abel
187,translation_rev,Valquíria Maria Cavalcante de Moura
187,translation_rev,Humberto Schubert Coelho
188,transcription_rev,Brutus Abel
188,translation_rev,Brutus Abel
188,translation_rev,Alexandre Caroli
191,transcription_rev,Brutus Abel
191,transcription_rev,Philippe Gilbert
191,translation_rev,Brutus Abel
191,translation_rev,Alexandre Caroli
192,transcription_rev,Brutus Abel
192,transcription_rev,Isabela Monteiro
192,transcription_rev,Philippe Gilbert
192,translation_rev,Brutus Abel
192,translation_rev,Alexandre Caroli
193,transcription_rev,Brutus Abel
193,transcription_rev,Isabela Monteiro
193,transcription_rev,Philippe Gilbert
193,translation_rev,Brutus Abel
193,translation_rev,Alexandre Caroli
205,transcription_rev,Brutus Abel
205,transcription_rev,Charles Kempf
205,translation_rev,Alexandre Caroli
205,translation_rev,Brutus Abel
206,transcription_rev,Brutus Abel
206,transcription_rev,Fábio Fortes
206,transcription_rev,Charles Kempf
206,translation_rev,Alexandre Caroli
206,translation_rev,Brutus Abel
207,transcription_rev,Brutus Abel
207,transcription_rev,Charles Kempf
207,translation_rev,Alexandre Caroli
207,translation_rev,Brutus Abel
208,transcription_rev,Brutus Abel
208,transcription_rev,Charles Kempf
208,translation_rev,Alexandre Caroli
209,transcription_rev,Brutus Abel
209,transcription_rev,Charles Kempf
209,translation_rev,Alexandre Caroli
210,transcription_rev,Alexandre Caroli
210,transcription_rev,Brutus Abel
210,translation_rev,Brutus Abel
210,translation_rev,Alexandre Caroli
211,transcription_rev,Alexandre Caroli
211,transcription_rev,Brutus Abel
211,translation_rev,Alexandre Caroli
211,translation_rev,Brutus Abel
218,transcription_rev,Philippe Gilbert
218,translation_rev,Alexandre Caroli
219,transcription_rev,Alexandre Caroli
219,transcription_rev,Brutus Abel
219,transcription_rev,Humberto Schubert Coelho
219,translation_rev,Alexandre Caroli
219,translation_rev,Brutus Abel
220,transcription_rev,Alexandre Caroli
220,transcription_rev,Brutus Abel
220,transcription_rev,Humberto Schubert Coelho
220,translation_rev,Alexandre Caroli
220,translation_rev,Brutus Abel
221,transcription_rev,Alexandre Caroli
221,transcription_rev,Brutus Abel
221,translation_rev,Alexandre Caroli
221,translation_rev,Brutus Abel
222,transcription_rev,Alexandre Caroli
222,transcription_rev,Brutus Abel
222,translation_rev,Alexandre Caroli
222,translation_rev,Brutus Abel
223,transcription_rev,Alexandre Caroli
223,transcription_rev,Brutus Abel
223,transcription_rev,Humberto Schubert Coelho
223,translation_rev,Alexandre Caroli
223,translation_rev,Brutus Abel
224,transcription_rev,Charles Kempf
224,translation_rev,Alexandre Caroli
225,transcription_rev,Brutus Abel
225,transcription_rev,Charles Kempf
225,translation_rev,Alexandre Caroli
225,translation_rev,Brutus Abel
226,transcription_rev,Alexandre Caroli
226,translation_rev,Alexandre Caroli
226,translation_rev,Brutus Abel
227,transcription_rev,Alexandre Caroli
227,translation_rev,Alexandre Caroli
